,Loss,Attack,Feature,ATE Mean value,ATE p-value,Random Cause Refuter Estimated Effect,Random Cause Refuter New Effect,Placebo Treatment Refuter,Placebo Treatment p_value,Subset Refuter,Subset Refuter p_value,ATE Random Cause Refuter Estimated Effect,ATE Random Cause Refuter New Effect,ATE Subset Refuter,ATE Subset Refuter p_value
142,mse,Top3MLLeakLAcc,CentroidDistance.sorted_3.,0,0,,,,,,,0.0,0.0,0.0,0.0
143,mse,MLLeakAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
144,mse,MLLeakAcc,TestBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
145,mse,MLLeakAcc,TrainAcc,0.001749905888739356,3.4949848073368574e-08,,,,,,,0.0,0.0,0.0,0.0
146,mse,MLLeakAcc,TestAcc,0,0,,,,,,,0.0,0.0,0.0,0.0
147,mse,MLLeakAcc,TrainLoss,-0.4265332626670472,0.008304602971746096,,,,,,,0.0,0.0,0.0,0.0
148,mse,MLLeakAcc,TestLoss,0.26887240866423484,4.179002435987643e-52,,,,,,,0.0,0.0,0.0,0.0
149,mse,MLLeakAcc,TrainVar,-0.047234129677539705,0.9266704957201237,,,,,,,0.0,0.0,0.0,0.0
150,mse,MLLeakAcc,TestVar,0,0,,,,,,,0.0,0.0,0.0,0.0
151,mse,MLLeakAcc,LossDiff,0.2718965251457481,7.313478113016162e-63,,,,,,,0.0,0.0,0.0,0.0
152,mse,MLLeakAcc,AccDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
153,mse,MLLeakAcc,NumParams,0.1786955609783023,0.11774755706425363,,,,,,,0.0,0.0,0.0,0.0
154,mse,MLLeakAcc,TrainSize,-0.08570441552367614,0.003964511538507341,,,,,,,0.0,0.0,0.0,0.0
155,mse,MLLeakAcc,CentroidDistance.origin.,0,0,,,,,,,0.0,0.0,0.0,0.0
156,mse,MLLeakLAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
157,mse,MLLeakLAcc,TestBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
158,mse,MLLeakLAcc,TrainAcc,-0.0026668206331458277,8.787641285161694e-09,,,,,,,0.0,0.0,0.0,0.0
159,mse,MLLeakLAcc,TestAcc,0,0,,,,,,,0.0,0.0,0.0,0.0
160,mse,MLLeakLAcc,TrainLoss,-0.3486366746427233,0.0007637057567394974,,,,,,,0.0,0.0,0.0,0.0
161,mse,MLLeakLAcc,TestLoss,0.336419037842423,1.1239695973958626e-91,,,,,,,0.0,0.0,0.0,0.0
162,mse,MLLeakLAcc,TrainVar,0.06179635689501484,0.530892926066171,,,,,,,0.0,0.0,0.0,0.0
163,mse,MLLeakLAcc,TestVar,0,0,,,,,,,0.0,0.0,0.0,0.0
164,mse,MLLeakLAcc,LossDiff,0.34155725427120587,1.2492303741709307e-103,,,,,,,0.0,0.0,0.0,0.0
165,mse,MLLeakLAcc,AccDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
166,mse,MLLeakLAcc,NumParams,0.16467326703369523,0.06613211385339805,,,,,,,0.0,0.0,0.0,0.0
167,mse,MLLeakLAcc,TrainSize,-0.10153261674396241,0.002107675126775204,,,,,,,0.0,0.0,0.0,0.0
168,mse,MLLeakLAcc,CentroidDistance.origin.,0,0,,,,,,,0.0,0.0,0.0,0.0
169,mse,ThresholdAcc,TrainBias2,-0.25628353574243434,3.440065666829291e-05,,,,,,,0.0,0.0,0.0,0.0
170,mse,ThresholdAcc,TestBias2,0.06314736117608888,0.36101724975436844,,,,,,,0.0,0.0,0.0,0.0
171,mse,ThresholdAcc,TrainAcc,0.16381503025839994,2.496150254701639e-09,,,,,,,0.0,0.0,0.0,0.0
172,mse,ThresholdAcc,TestAcc,-0.24314829608224353,0.00027204937102056086,,,,,,,0.0,0.0,0.0,0.0
173,mse,ThresholdAcc,TrainLoss,-0.08428799975663459,0.12908209446943478,,,,,,,0.0,0.0,0.0,0.0
174,mse,ThresholdAcc,TestLoss,0.3664382363555002,7.296532139996804e-49,,,,,,,0.0,0.0,0.0,0.0
175,mse,ThresholdAcc,TrainVar,0.044990090025893714,0.24733150985061608,,,,,,,0.0,0.0,0.0,0.0
176,mse,ThresholdAcc,TestVar,0.283509987521365,0.3876709006231197,,,,,,,0.0,0.0,0.0,0.0
177,mse,ThresholdAcc,LossDiff,-0.6701516292875768,1.2022555690965768e-12,,,,,,,0.0,0.0,0.0,0.0
178,mse,ThresholdAcc,AccDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
179,mse,ThresholdAcc,NumParams,0.011075134180851487,0.03303960840166856,,,,,,,0.0,0.0,0.0,0.0
180,mse,ThresholdAcc,TrainSize,-0.09541831435954962,0.002906888520884616,,,,,,,0.0,0.0,0.0,0.0
181,mse,ThresholdAcc,CentroidDistance.origin.,-0.07872281291713812,2.861827000653642e-07,,,,,,,0.0,0.0,0.0,0.0
